Number of Records,Passing TDs,Player,Position,Pts,Salary,Team,Points
1,0,Jadeveon Clowney,DL,6,12306000,HOU,6
1,0,Jake Elliott,K,117,555000,PHI,117
1,0,Jakeem Grant,WR,12,630000,MIA,12
1,0,Jalen Mills,DB,6,630000,PHI,6
1,0,Jalen Richard,RB,12,630000,OAK,12
1,0,Jamaal Charles,RB,6,716471,DEN,6
1,0,Jamaal Williams,RB,36,555000,GNB,36
1,0,Jamal Agnew,DB,12,555000,DET,12
1,19,Jameis Winston,QB,6,580588,TAM,120
1,0,James O'Shaughnessy,TE,6,705000,JAX,6
1,0,James White,RB,18,1000000,NWE,18
1,0,Jamison Crowder,WR,18,1907000,WAS,18
1,0,Jamize Olawale,RB,6,1540000,OAK,6
1,0,Janoris Jenkins,DB,12,6400000,NYG,12
1,0,Jared Cook,TE,12,5000000,OAK,12
1,28,Jared Goff,QB,6,2989788,LAR,174
1,0,Jarius Wright,WR,12,800000,MIN,12
1,0,Jaron Brown,WR,24,800000,ARI,24
1,0,Jarvis Landry,WR,54,3500000,MIA,54
1,0,Jason McCourty,DB,6,1600000,CLE,6
1,0,Jason Myers,K,48,705000,JAX,48
1,0,Javorius Allen,RB,36,705000,BAL,36
1,0,Jay Ajayi,RB,12,1907000,2TM,12
1,0,Jaydon Mickens,WR,18,555000,JAX,18
1,0,Jeff Heath,DB,2,1500000,DAL,2
1,0,Jeff Heuerman,TE,12,705000,DEN,12
1,0,Jeremy Kerley,WR,6,915000,NYJ,6
1,0,Jeremy Sprinkle,TE,6,555000,WAS,6
1,0,Jermaine Gresham,TE,12,5250000,ARI,12
1,0,Jermaine Kearse,WR,30,5000000,NYJ,30
1,0,Jesse James,TE,18,1907000,PIT,18
1,7,Jimmy Garoppolo,QB,6,6200000,SFO,48
1,0,Jimmy Graham,TE,62,1450000,SEA,62
1,0,Jimmy Smith,DB,12,6882353,BAL,12
1,0,JJ Nelson,WR,12,1907000,ARI,12
1,18,Joe Flacco,QB,6,12000000,BAL,114
1,0,Joe Mixon,RB,24,712735,CIN,24
1,0,John Brown,WR,18,1000000,ARI,18
1,0,John Simon,DL,6,650588,IND,6
1,0,Johnathan Joseph,DB,6,2400000,HOU,6
1,0,Johnny Holton,WR,18,121600,OAK,18
1,0,Jonathan Stewart,RB,42,1400000,CAR,42
1,0,Jonnu Smith,TE,12,579000,TEN,12
1,0,Jordan Howard,RB,54,630000,CHI,54
1,0,Jordan Matthews,WR,6,697059,BUF,6
1,0,Jordan Poyer,DB,6,2500000,BUF,6
1,0,Jordan Reed,TE,12,8250000,WAS,12
1,0,Jordy Nelson,WR,36,3400000,GNB,36
1,0,Josh Bellamy,WR,6,1907000,CHI,6
1,0,Josh Doctson,WR,36,1363604,WAS,36
1,0,Josh Gordon,WR,6,790000,CLE,6
1,0,Josh Hill,TE,6,1800000,NOR,6
1,0,Josh Lambo,K,79,705000,JAX,79
1,0,Josh Malone,WR,6,555000,CIN,6
1,18,Josh McCown,QB,30,5000000,NYJ,138
1,0,Josh Reynolds,WR,6,555000,LAR,6
1,0,JuJu Smith-Schuster,WR,48,655717,PIT,48
1,0,Julio Jones,WR,18,9000000,ATL,18
1,0,Justin Bethel,DB,6,850000,ARI,6
1,0,Justin Coleman,DB,12,2914000,SEA,12
1,0,Justin Hardee,WR,6,555000,NOR,6
1,0,Justin Hardy,WR,18,705000,ATL,18
1,0,Justin Houston,LB,6,14750000,KAN,6
1,0,Justin Hunter,WR,6,790000,PIT,6
1,0,Justin Simmons,DB,6,630000,DEN,6
1,0,Justin Tucker,K,141,2950000,BAL,141
1,0,Kaelin Clay,WR,6,630000,2TM,6
1,0,Ka'imi Fairbairn,K,92,555000,HOU,92
1,0,Kapri Bibbs,RB,6,129200,WAS,6
1,0,Kareem Hunt,RB,66,575250,KAN,66
1,0,Keelan Cole,WR,18,555000,JAX,18
1,0,Keenan Allen,WR,42,7500000,LAC,42
1,0,Kelvin Benjamin,WR,18,8459000,2TM,18
1,0,Kenjon Barner,RB,6,743529,PHI,6
1,0,Kenny Golladay,WR,18,586000,DET,18
1,0,Kenny Stills,WR,36,7975000,MIA,36
1,0,Kenny Vaccaro,DB,6,900000,NOR,6
1,0,Kenyan Drake,RB,26,705000,MIA,26
1,27,Kirk Cousins,QB,24,22500000,WAS,186
1,0,Korey Toomer,LB,6,790000,LAC,6
1,0,Kyle Juszczyk,RB,6,2750000,SFO,6
1,0,Kyle Rudolph,TE,48,6025000,MIN,48
1,0,Kyle Williams,DL,6,2250000,BUF,6
1,0,Lamar Miller,RB,36,5000000,HOU,36
1,0,Lamarcus Joyner,DB,6,11287000,LAR,6
1,0,Lance Kendricks,TE,6,1250000,GNB,6
1,0,Larry Fitzgerald,WR,38,11000000,ARI,38
1,0,Latavius Murray,RB,48,3650000,MIN,48
1,0,Lavonte David,LB,6,8750000,TAM,6
1,0,LeGarrette Blount,RB,20,1000000,PHI,20
1,0,Leonard Floyd,LB,2,1884806,CHI,2
1,0,Leonard Fournette,RB,60,1699129,JAX,60
1,0,Leonard Wester,T,6,630000,TAM,6
1,0,LeSean McCoy,RB,48,6075000,BUF,48
1,0,Levine Toilolo,TE,12,1000000,ATL,12
1,0,Logan Thomas,QB,6,790000,BUF,6
1,0,Luke Kuechly,LB,6,790000,CAR,6
1,0,Luke Stocker,TE,6,1000000,2TM,6
1,0,Luke Willson,TE,24,1500000,SEA,24
1,0,Malcolm Brown,RB,12,630000,LAR,12
1,0,Marcedes Lewis,TE,32,1050000,JAX,32
1,13,Marcus Mariota,QB,30,705000,TEN,108
1,0,Marcus Peters,DB,6,1741931,KAN,6
1,0,Mark Ingram,RB,72,4000000,NOR,72
1,0,Marlon Mack,RB,24,555000,IND,24
1,0,Marquise Goodwin,WR,12,1450000,SFO,12
1,0,Marshawn Lynch,RB,42,2500000,OAK,42
1,0,Marshon Lattimore,DB,6,1163162,NOR,6
1,0,Martavis Bryant,WR,20,663529,PIT,20
1,0,Marvin Hall,WR,6,555000,ATL,6
1,0,Marvin Jones,WR,54,7000000,DET,54
1,0,Mason Crosby,K,78,3150000,GNB,78
1,0,Matt Breida,RB,18,555000,SFO,18
1,0,Matt Bryant,K,137,1100000,ATL,137
1,0,Matt Milano,LB,6,555000,BUF,6
1,0,Matt Prater,K,130,2000000,DET,130
1,29,Matthew Stafford,QB,2,9500000,DET,176
1,0,Maurice Harris,WR,6,630000,WAS,6
1,0,Maxx Williams,TE,6,987646,BAL,6
1,0,Melvin Gordon,RB,72,1889968,LAC,72
1,0,Melvin Ingram,DL,6,11250000,LAC,6
1,0,Michael Crabtree,WR,52,1000000,OAK,52
1,0,Michael Thomas,DB,30,1100000,NOR,30
1,0,Michael Thomas,WR,30,915361,NOR,30
1,0,Mike Evans,WR,32,8258000,TAM,32
1,0,Mike Gillislee,RB,30,790000,NWE,30
1,0,Mike Nugent,K,48,1015000,2TM,48
1,0,Mike Wallace,WR,24,915000,BAL,24
1,0,Miles Killebrew,DB,6,630000,DET,6
1,7,Mitchell Trubisky,QB,14,555000,CHI,56
1,0,Mohamed Sanu,WR,30,6125000,ATL,30
1,0,Myles Jack,LB,6,1025858,JAX,6
1,0,Nate Hairston,DB,2,555000,IND,2
1,0,Nelson Agholor,WR,54,129200,PHI,54
1,0,Nevin Lawson,DB,6,2300000,DET,6
1,0,Nick Bellore,LB,6,915000,DET,6
1,0,Nick Boyle,TE,2,705000,BAL,2
1,0,Nick O'Leary,TE,12,617123,BUF,12
1,0,Nick Vannett,TE,6,652000,SEA,6
1,0,Nigel Bradham,LB,6,941176,PHI,6
1,0,O.J. Howard,TE,36,969301,TAM,36
1,0,Odell Beckham,WR,18,1459000,NYG,18
1,0,Patrick Ricard,DL,12,555000,BAL,12
1,0,Paul Richardson,WR,36,1500000,SEA,36
1,0,Peyton Barber,RB,18,630000,TAM,18
1,0,Pharoh Cooper,WR,6,406941,LAR,6
1,0,Phil Dawson,K,119,2500000,ARI,119
1,0,Ramik Wilson,LB,6,705000,KAN,6
1,0,Randall Cobb,WR,26,8600000,GNB,26
1,0,Randy Bullock,K,85,790000,CIN,85
1,0,Rashard Higgins,WR,12,630000,CLE,12
1,0,Reshad Jones,DB,12,970000,MIA,12
1,0,Rex Burkhead,RB,48,1000000,NWE,48
1,0,Rhett Ellison,RB,12,2475000,NYG,12
1,0,Richard Rodgers,TE,6,790000,GNB,6
1,0,Ricky Seals-Jones,WR,18,555000,ARI,18
1,0,Rishard Matthews,WR,24,538235,TEN,24
1,0,Rob Gronkowski,TE,50,8000000,NWE,50
1,0,Robbie Gould,K,145,2000000,SFO,145
1,0,Robby Anderson,WR,42,630000,NYJ,42
1,0,Robert Kelley,RB,18,630000,WAS,18
1,0,Robert Nkemdiche,DL,6,1231873,ARI,6
1,0,Robert Turbin,RB,6,1000000,IND,6
1,0,Robert Woods,WR,30,790000,LAR,30
1,0,Rod Smith,RB,30,705000,DAL,30
1,0,Roosevelt Nix,RB,12,1000000,PIT,12
1,0,Russell Shepard,WR,6,900000,CAR,6
1,34,Russell Wilson,QB,18,15500000,SEA,222
1,0,Ryan Grant,WR,24,1000000,WAS,24
1,0,Ryan Griffin,TE,8,2250000,HOU,8
1,0,Ryan Kerrigan,DL,6,9000000,WAS,6
1,0,Ryan Succop,K,136,2250000,TEN,136
1,0,Ryan Switzer,WR,6,555000,DAL,6
1,0,Sam Ficken,K,10,423525,LAR,10
1,0,Samaje Perine,RB,12,555000,WAS,12
1,0,Sammy Watkins,WR,48,790000,LAR,48
1,0,Senorise Perry,RB,2,630000,MIA,2
1,0,Seth Devalve,TE,6,630000,CLE,6
1,0,Seth Roberts,WR,6,2250000,OAK,6
1,0,Stefon Diggs,WR,48,1907000,MIN,48
1,0,Stephen Gostkowski,K,156,3200000,NWE,156
1,0,Sterling Shepard,WR,12,990416,NYG,12
1,0,Stevan Ridley,RB,6,790000,PIT,6
1,0,Steven Hauschka,K,116,1750000,BUF,116
1,0,T.J. Jones,WR,8,1907000,DET,8
1,0,T.J. Yeldon,RB,12,1241421,JAX,12
1,0,T.Y. Hilton,WR,24,11000000,IND,24
1,0,Tarik Cohen,RB,24,555000,CHI,24
1,0,Tavon Austin,WR,6,1000000,LAR,6
1,0,Taylor Gabriel,WR,6,2500000,ATL,6
1,0,Taywan Taylor,WR,6,630000,TEN,6
1,0,Ted Ginn,WR,24,3000000,NOR,24
1,0,Telvin Smith,LB,12,3000000,JAX,12
1,0,Terrelle Pryor,QB,6,418235,WAS,6
1,0,Tevin Coleman,RB,48,791628,ATL,48
1,0,Theo Riddick,RB,30,2700000,DET,30
1,0,Todd Gurley,RB,114,950000,LAR,114
1,0,Tommy Bohanon,RB,18,790000,JAX,18
1,0,Tommylee Lewis,WR,6,630000,NOR,6
1,0,Torrey Smith,WR,12,5000000,PHI,12
1,0,Travis Benjamin,WR,30,5750000,LAC,30
1,0,Travis Kelce,TE,48,6800000,KAN,48
1,0,TreDavious White,DB,6,923687,BUF,6
1,0,Trent Taylor,WR,12,555000,SFO,12
1,0,Trey Burton,TE,32,2800000,PHI,32
1,0,Trumaine Johnson,DB,6,6000000,LAR,6
1,0,Ty Montgomery,WR,24,716500,GNB,24
1,0,Tyler Boyd,WR,12,787179,CIN,12
1,0,Tyler Higbee,TE,6,630000,LAR,6
1,0,Tyler Kroft,TE,42,1897000,CIN,42
1,0,Tyler Lockett,WR,18,2000000,SEA,18
1,0,Tyreek Hill,WR,48,630000,KAN,48
1,0,Tyrell Williams,WR,24,2914000,LAC,24
1,14,Tyrod Taylor,QB,24,10000000,BUF,108
1,0,Vance McDonald,TE,6,790000,PIT,6
1,0,Vernon Davis,TE,18,3750000,WAS,18
1,0,Virgil Green,TE,6,1000000,DEN,6
1,0,Wayne Gallman,RB,6,555000,NYG,6
1,0,Wendell Smallwood,RB,6,630000,PHI,6
1,0,Wesley Woodyard,LB,6,2700000,TEN,6
1,0,Wil Lutz,K,140,630000,NOR,140
1,0,Will Fuller,WR,42,1378028,HOU,42
1,0,William Jackson,DB,6,1332331,CIN,6
1,0,Xavien Howard,DB,6,1007094,MIA,6
1,0,Xavier Grimble,TE,6,630000,PIT,6
1,0,Yannick Ngakoue,LB,6,735101,JAX,6
1,0,Zach Ertz,TE,48,790000,PHI,48
1,0,Zach Line,RB,6,850000,NOR,6
1,0,Zach Zenner,RB,6,750000,DET,6
1,0,Zane Gonzalez,K,70,555000,CLE,70
1,0,Zay Jones,WR,12,773174,BUF,12
